line,FeatureID,vendor,tool,ILIRStartDate,status,type,ILIFSurfaceInd,chainage_m,depth_fraction,length_mm,width_mm,OD_inch,WT_mm,grade_MPa,toughness_J,install_date,MAOP_kPa
Owen Sound - Section 2 - 2nd Run,423317,Rosen,MFL,2015-05-15 12:00:00,Active,Metal loss,E,43226.774,0.47,171,171,10.75,5.6,290,,1961-07-27 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423507,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,45844.192,0.21,18,18,12.75,6.4,241,,1986-11-05 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423512,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,45959.092,0.19,20,20,12.75,6.4,241,,1986-11-05 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423508,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,45850.355,0.11,34,34,12.75,6.4,241,,1986-11-05 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423509,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,45851.415,0.1,24,24,12.75,6.4,241,,1986-11-05 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423576,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,47932.799,0.05,76,76,12.75,6.4,241,,1986-11-05 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423580,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,47988.449,0.04,87,87,12.75,6.4,241,,1986-11-05 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423640,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,49078.489,0.1,18,18,12.75,6.4,241,,1986-11-05 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423516,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,46469.441,0.05,66,66,12.75,6.4,241,,1986-11-05 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423519,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,46624.462,0.08,27,27,12.75,6.4,241,,1986-11-05 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423513,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,46238.865,0.05,52,52,12.75,6.4,241,,1986-11-05 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423514,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,46464.392,0.03,91,91,12.75,6.4,241,,1986-11-05 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423577,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,47932.818,0.03,75,75,12.75,6.4,241,,1986-11-05 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423515,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,46466.941,0.03,70,70,12.75,6.4,241,,1986-11-05 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423639,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,48834.576,0.04,36,36,12.75,6.4,241,,1986-11-05 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,422237,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,34355.41,0.26,17,17,10.75,5.6,290,,1961-07-27 12:00:00,3450
Owen Sound - Section 2 - 2nd Run,423521,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,47300.253,0.04,16,16,12.75,6.4,241,,1986-11-05 12:00:00,6160
Owen Sound - Section 2 - 2nd Run,423518,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,46624.436,0.08,12,12,12.75,6.4,241,,1986-11-05 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423579,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,47932.91,0.02,62,62,12.75,6.4,241,,1986-11-05 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423578,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,47932.827,0.02,67,67,12.75,6.4,241,,1986-11-05 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423523,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,47300.481,0.04,12,12,12.75,6.4,241,,1986-11-05 12:00:00,6160
Owen Sound - Section 2 - 2nd Run,423522,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,47300.28,0.04,16,16,12.75,6.4,241,,1986-11-05 12:00:00,6160
Owen Sound - Section 2 - 2nd Run,423313,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,43153.488,0.13,210,210,10.75,5.6,290,,1961-07-27 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423520,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,46624.49,0.06,20,20,12.75,6.4,241,,1986-11-05 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423295,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,42924.639,0.17,19,19,10.75,5.6,290,,1961-07-27 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,423328,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,43511.791,0.07,77,77,10.75,9.3,290,,1986-11-05 12:00:00,4670
Owen Sound - Section 2 - 2nd Run,422211,Rosen,MFL,2015-05-15 12:00:00,,Metal loss,E,34164.651,0.2,60,60,10.75,5.6,290,,1961-07-27 12:00:00,3450
